["opt1","LEFT"]
["opt2","LEFT"]
["opt3","RIGHT"]
["opt4","RIGHT"]

("opt1","mode 1",1,"opt1",1,"transmission")
(300, 3)
1.9594278300653594e+14 2.3920758265164043e-06 5.8613412455231551e-01 
1.9592779301209822e+14 3.4344450552656225e-06 9.6501804264932567e-01 
1.9591280531101103e+14 3.9461547385497197e-06 1.3538431176298797e+00 
1.9589781990274816e+14 3.8220946433089133e-06 1.7437782257258405e+00 
1.9588283678678350e+14 3.0596406609127873e-06 2.1283560966873454e+00 
1.9586785596259106e+14 1.7636323235669558e-06 2.4866001662079089e+00 
1.9585287742964516e+14 1.9894716024157061e-07 2.0364784551197070e+00 
1.9583790118742012e+14 1.6092802633906186e-06 3.3162565679300493e-01 
1.9582292723539047e+14 3.1215002361072040e-06 6.8039812492708451e-01 
1.9580795557303100e+14 4.1746527740704003e-06 1.0631942714320894e+00 
1.9579298619981650e+14 4.5745706312577166e-06 1.4525808243314766e+00 
1.9577801911522206e+14 4.2304697776771312e-06 1.8415550590338114e+00 
1.9576305431872281e+14 3.1725317557420193e-06 2.2223582701086761e+00 
1.9574809180979416e+14 1.5535715553135763e-06 2.5582928819636832e+00 
1.9573313158791159e+14 4.3928347363359467e-07 3.6796202673214057e-01 
1.9571817365255078e+14 2.3525136696068278e-06 4.0965373344587752e-01 
1.9570321800318756e+14 3.9789538398099188e-06 7.7414534971231563e-01 
1.9568826463929794e+14 5.0077546868305606e-06 1.1594897159168993e+00 
1.9567331356035797e+14 5.2442273924630864e-06 1.5490246751124570e+00 
1.9565836476584412e+14 4.6193991255781367e-06 1.9365759713730677e+00 
1.9564341825523278e+14 3.2057164940989300e-06 2.3118326240844178e+00 
1.9562847402800053e+14 1.2166741636525433e-06 2.5990807280083592e+00 
1.9561353208362428e+14 1.0984481249128110e-06 2.2648265738716000e-01 
1.9559859242158094e+14 3.2668118267861666e-06 4.9346147248933586e-01 
1.9558365504134753e+14 4.9875176681610525e-06 8.6697916881462489e-01 
1.9556871994240144e+14 5.9468813529219249e-06 1.2539865100317180e+00 
1.9555378712422009e+14 5.9552326606378366e-06 1.6433017006541977e+00 
1.9553885658628097e+14 4.9747348525520908e-06 2.0288147848452516e+00 
1.9552392832806194e+14 3.1319533799395283e-06 2.3953865708972275e+00 
1.9550900234904088e+14 7.2757667373072474e-07 2.5247616742783001e+00 
1.9549407864869578e+14 1.9780636112801959e-06 2.5192104168968127e-01 
1.9547915722650500e+14 4.3934303828491612e-06 5.7963493242828068e-01 
1.9546423808194684e+14 6.1801912243068284e-06 9.5878465512983857e-01 
1.9544932121449984e+14 7.0103286780341851e-06 1.3468364382259208e+00 
1.9543440662364278e+14 6.7066577821678684e-06 1.7355557358581040e+00 
1.9541949430885447e+14 5.2745676450979625e-06 2.1181181554098067e+00 
1.9540458426961394e+14 2.9104591450763721e-06 2.4696686085463311e+00 
1.9538967650540034e+14 2.9293201047683222e-07 1.2083535855867464e+00 
1.9537477101569309e+14 3.1299587389968546e-06 3.1290171781528464e-01 
1.9535986779997169e+14 5.7921050306644099e-06 6.6677162415073910e-01 
1.9534496685771569e+14 7.6028039539273737e-06 1.0496253174178405e+00 
1.9533006818840500e+14 8.2203006483008929e-06 1.4382417601145912e+00 
1.9531517179151959e+14 7.4901917923986507e-06 1.8259029014679948e+00 
1.9530027766653956e+14 5.4775111962622541e-06 2.2039637584680833e+00 
1.9528538581294522e+14 2.4712349462636857e-06 2.5245470808451085e+00 
1.9527049623021709e+14 1.1642219206902636e-06 2.1216645040689133e-01 
1.9525560891783566e+14 4.6589509225886204e-06 3.8648469626101656e-01 
1.9524072387528178e+14 7.5651857426738369e-06 7.5432659773804656e-01 
1.9522584110203638e+14 9.3374614957850299e-06 1.1397203061497034e+00 
1.9521096059758047e+14 9.6249080292726338e-06 1.5285124094908942e+00 
1.9519608236139538e+14 8.3113514540914347e-06 1.9145404709362879e+00 
1.9518120639296250e+14 5.5457538989074490e-06 2.2854816053580644e+00 
1.9516633269176334e+14 1.7502127832897319e-06 2.5225232309037224e+00 
1.9515146125727969e+14 2.6174202263548878e-06 1.6366056809823795e-01 
1.9513659208899338e+14 6.6475604984060983e-06 4.6629299597621676e-01 
1.9512172518638644e+14 9.7540658569499239e-06 8.4221030536525998e-01 
1.9510686054894106e+14 1.1348359779243634e-05 1.2291334478976805e+00 
1.9509199817613962e+14 1.1077163453113543e-05 1.6173266186561128e+00 
1.9507713806746462e+14 8.8839250245244378e-06 1.9997876502847662e+00 
1.9506228022239872e+14 5.0365894852729107e-06 2.3527794182564885e+00 
1.9504742464042472e+14 4.9588705927951457e-07 1.3727274134096750e+00 
1.9503257132102569e+14 5.2779054261540701e-06 1.9635692153038523e-01 
1.9501772026368459e+14 1.0041423196005706e-05 5.4827998620472740e-01 
1.9500287146788491e+14 1.3465493138404620e-05 9.3096536643520278e-01 
1.9498802493311000e+14 1.4913448720967321e-05 1.3200354110501786e+00 
1.9497318065884347e+14 1.4062142906775210e-05 1.7091859261128073e+00 
1.9495833864456912e+14 1.0974610194786111e-05 2.0923325122738579e+00 
1.9494349888977091e+14 6.1198812022086876e-06 2.4474788085624155e+00 
1.9492866139393278e+14 6.1937046474166772e-07 1.8109959692081441e+00 
1.9491382615653912e+14 5.4930716986772101e-06 2.9017399045218351e-01 
1.9489899317707428e+14 9.9828408688211434e-06 6.3739337331447343e-01 
1.9488416245502275e+14 1.2219745280611388e-05 1.0153731884372028e+00 
1.9486933398986931e+14 1.1445322845554653e-05 1.3938753103733341e+00 
1.9485450778109884e+14 7.3366517453351999e-06 1.7446827308866311e+00 
1.9483968382819628e+14 8.1581331611514959e-07 6.6537097634250686e-01 
1.9482486213064694e+14 9.8581821205014048e-06 -4.1104185284252437e-01 
1.9481004268793600e+14 2.1086597181115750e-05 -5.7032117737612700e-02 
1.9479522549954906e+14 3.2453601191928782e-05 3.2839106077298374e-01 
1.9478041056497175e+14 4.2643913456691274e-05 7.2195189391190928e-01 
1.9476559788368984e+14 5.0614488385733249e-05 1.1190455541985533e+00 
1.9475078745518934e+14 5.5837721550956118e-05 1.5183524079207407e+00 
1.9473597927895634e+14 5.8493874680228980e-05 1.9197115459001632e+00 
1.9472117335447712e+14 5.9569403292416164e-05 2.3236369815751181e+00 
1.9470636968123809e+14 6.0832855468324037e-05 2.7309424446063213e+00 
1.9469156825872591e+14 6.4675790918553957e-05 -3.1413589925971497e+00 
1.9467676908642725e+14 7.3823600709483500e-05 -2.7284766456082603e+00 
1.9466197216382906e+14 9.0941367421047440e-05 -2.3164995577081893e+00 
1.9464717749041831e+14 1.1818369938078323e-04 -1.9073886549736161e+00 
1.9463238506568231e+14 1.5675041376203639e-04 -1.5011723151845680e+00 
1.9461759488910841e+14 2.0650800840956547e-04 -1.0969159963788031e+00 
1.9460280696018406e+14 2.6573472118283166e-04 -6.9371249578847971e-01 
1.9458802127839703e+14 3.3103995561727383e-04 -2.9098299820410944e-01 
1.9457323784323516e+14 3.9749031200516001e-04 1.1156789994597993e-01 
1.9455845665418631e+14 4.5894879370724206e-04 5.1405225255048703e-01 
1.9454367771073875e+14 5.0860566036146123e-04 9.1646630430513443e-01 
1.9452890101238078e+14 5.3965250936105426e-04 1.3187169823581348e+00 
1.9451412655860078e+14 5.4602926897986156e-04 1.7206078556036157e+00 
1.9449935434888741e+14 5.2316008212743544e-04 2.1217658736742311e+00 
1.9448458438272944e+14 4.6859051086522324e-04 2.5214292154887517e+00 
1.9446981665961578e+14 3.8244662675287425e-04 2.9177750574035839e+00 
1.9445505117903550e+14 2.6766340840049405e-04 -2.9781217742546091e+00 
1.9444028794047788e+14 1.3007495446751814e-04 -2.6324251463113475e+00 
1.9442552694343222e+14 2.8142938993563113e-05 1.5783667887140829e+00 
1.9441076818738816e+14 1.8335514981272595e-04 1.5122567956569422e+00 
1.9439601167183534e+14 3.3697536302263820e-04 1.8803324789187850e+00 
1.9438125739626362e+14 4.7550316955891260e-04 2.2724794737572993e+00 
1.9436650536016303e+14 5.8950410094402432e-04 2.6714174398054515e+00 
1.9435175556302375e+14 6.7158527643665085e-04 3.0732417525615743e+00 
1.9433700800433606e+14 7.1700418010857284e-04 -2.8066324869949031e+00 
1.9432226268359038e+14 7.2407846050006892e-04 -2.4024949764751238e+00 
1.9430751960027744e+14 6.9429059747013995e-04 -1.9979290798211464e+00 
1.9429277875388800e+14 6.3206955964347357e-04 -1.5932558933277976e+00 
1.9427804014391294e+14 5.4427680464091521e-04 -1.1888399583944285e+00 
1.9426330376984341e+14 4.3945928139283867e-04 -7.8524864884225543e-01 
1.9424856963117062e+14 3.2695709152680323e-04 -3.8361884980497074e-01 
1.9423383772738597e+14 2.1596881354658931e-04 1.3119059297895605e-02 
1.9421910805798103e+14 1.1469238244394552e-04 3.9387672383199668e-01 
1.9420438062244753e+14 2.9910471368905812e-05 6.4247804782785956e-01 
1.9418965542027728e+14 3.6352480019944875e-05 -1.7056404615592096e+00 
1.9417493245096234e+14 7.9115186796685762e-05 -1.3955682828249349e+00 
1.9416021171399484e+14 1.0080868703713366e-04 -1.0097106041338499e+00 
1.9414549320886712e+14 1.0393209594025977e-04 -6.1166135842689373e-01 
1.9413077693507169e+14 9.2665441579996942e-05 -2.1031334841101820e-01 
1.9411606289210112e+14 7.2050892347762905e-05 1.9058281607338576e-01 
1.9410135107944825e+14 4.7280058555642880e-05 5.8622520743162410e-01 
1.9408664149660600e+14 2.3051861735185816e-05 9.5946473327260395e-01 
1.9407193414306744e+14 3.3034674184979330e-06 9.5939921410895068e-01 
1.9405722901832588e+14 1.0702612771960801e-05 -1.1683703894558710e+00 
1.9404252612187466e+14 1.6823476469725445e-05 -8.2346132267515748e-01 
1.9402782545320734e+14 1.6097500355078173e-05 -4.4072734239513989e-01 
1.9401312701181769e+14 1.0088283214119173e-05 -7.3960443083080224e-02 
1.9399843079719944e+14 1.3493232762200773e-06 -3.3088405895269024e-01 
1.9398373680884675e+14 8.6887875487544911e-06 -2.1997488479813487e+00 
1.9396904504625372e+14 1.6585438369425860e-05 -1.8397342020908165e+00 
1.9395435550891462e+14 2.1129219012002216e-05 -1.4416556520391228e+00 
1.9393966819632403e+14 2.1458418023973272e-05 -1.0360765823697795e+00 
1.9392498310797656e+14 1.7621884601084091e-05 -6.3230356345096372e-01 
1.9391030024336688e+14 1.0494449762666792e-05 -2.4922994015614269e-01 
1.9389561960199003e+14 1.7249512535993591e-06 -2.7983928381869494e-01 
1.9388094118334109e+14 7.6031930679191144e-06 -2.3499329820413135e+00 
1.9386626498691525e+14 1.4960430989432527e-05 -1.9843457168942840e+00 
1.9385159101220788e+14 1.9329473631981753e-05 -1.5751676623976980e+00 
1.9383691925871462e+14 1.9949336467770412e-05 -1.1567086702661598e+00 
1.9382224972593112e+14 1.6802874730857242e-05 -7.3794632026532980e-01 
1.9380758241335322e+14 1.0600665083117308e-05 -3.3391900206235725e-01 
1.9379291732047691e+14 2.7001305018826801e-06 -1.2308421255577125e-01 
1.9377825444679838e+14 5.6341161051157558e-06 -2.3818664011512944e+00 
1.9376359379181391e+14 1.2295427949124935e-05 -2.0171532436947128e+00 
1.9374893535501997e+14 1.6192675882433080e-05 -1.5893499426681865e+00 
1.9373427913591319e+14 1.6545319202285492e-05 -1.1486517938219662e+00 
1.9371962513399031e+14 1.3317482278435395e-05 -7.0777262696490129e-01 
1.9370497334874825e+14 7.2523679378512015e-06 -3.0095884116396915e-01 
1.9369032377968409e+14 1.0083421344908186e-06 -1.6335110819604663e+00 
1.9367567642629503e+14 7.6014335413687306e-06 -2.2271840714096833e+00 
1.9366103128807844e+14 1.2497597506897894e-05 -1.7886770848893490e+00 
1.9364638836453191e+14 1.3785357971123468e-05 -1.3236900256397719e+00 
1.9363174765515303e+14 1.1302483336173271e-05 -9.0302697259138931e-01 
1.9361710915943969e+14 6.6248692620813029e-06 -6.8469618281488875e-01 
1.9360247287688984e+14 3.6954889258339475e-06 -1.2372943912491272e+00 
1.9358783880700159e+14 5.5401902796574398e-06 -1.7262060518602731e+00 
1.9357320694927331e+14 7.5650670537153198e-06 -1.6812422257712401e+00 
1.9355857730320338e+14 8.8245115613022322e-06 -1.5358022622730563e+00 
1.9354394986829038e+14 9.2836414783132280e-06 -1.3399909761887068e+00 
1.9352932464403300e+14 8.5877995342858046e-06 -1.1187458180380621e+00 
1.9351470162993025e+14 6.6641143002229197e-06 -9.4632537482648649e-01 
1.9350008082548112e+14 4.2780888890678325e-06 -1.0327907435951174e+00 
1.9348546223018475e+14 3.8058349004597369e-06 -1.6267914524372458e+00 
1.9347084584354056e+14 5.8559734098506099e-06 -1.8563522873061908e+00 
1.9345623166504800e+14 7.9184532335605568e-06 -1.7320336947204960e+00 
1.9344161969420675e+14 9.0576853834877467e-06 -1.5124428181304685e+00 
1.9342700993051659e+14 9.1278899201361777e-06 -1.2752202098292924e+00 
1.9341240237347747e+14 8.2659709079509111e-06 -1.0509259860803246e+00 
1.9339779702258947e+14 6.7288045107861587e-06 -8.6321023184892198e-01 
1.9338319387735288e+14 4.8248912511919384e-06 -7.5503402685979648e-01 
1.9336859293726809e+14 2.9653945210733831e-06 -8.6225983578908683e-01 
1.9335399420183562e+14 2.1252895283059334e-06 -1.5054675663922645e+00 
1.9333939767055625e+14 3.1462636269172264e-06 -2.0328688915394135e+00 
1.9332480334293078e+14 4.7241327419444878e-06 -2.1008002907142971e+00 
1.9331021121846019e+14 6.1868129096496047e-06 -2.0193338685516480e+00 
1.9329562129664569e+14 7.3710552698722143e-06 -1.8883545248601239e+00 
1.9328103357698859e+14 8.2263645665881324e-06 -1.7380302327608099e+00 
1.9326644805899028e+14 8.7406845867891304e-06 -1.5796069657469578e+00 
1.9325186474215244e+14 8.9210313970344811e-06 -1.4179195788594776e+00 
1.9323728362597681e+14 8.7857320727588652e-06 -1.2552255558152892e+00 
1.9322270470996528e+14 8.3603292610862521e-06 -1.0926296011810268e+00 
1.9320812799361991e+14 7.6750902437236032e-06 -9.3071004772125077e-01 
1.9319355347644294e+14 6.7633926195339729e-06 -7.6986615890781962e-01 
1.9317898115793669e+14 5.6606574760126379e-06 -6.1063153284825966e-01 
1.9316441103760369e+14 4.4036623583726182e-06 -4.5426537770667968e-01 
1.9314984311494659e+14 3.0302007811872802e-06 -3.0482306013379490e-01 
1.9313527738946822e+14 1.5797114517941948e-06 -1.8270854248249163e-01 
1.9312071386067153e+14 1.6083147342002571e-07 -9.8340136613108609e-01 
1.9310615252805962e+14 1.4240955845508974e-06 -2.8041897932806350e+00 
1.9309159339113575e+14 2.8810162947610465e-06 -2.6847434465612823e+00 
1.9307703644940334e+14 4.2658821117645227e-06 -2.5287551141270765e+00 
1.9306248170236594e+14 5.5387756179747572e-06 -2.3614665222012103e+00 
1.9304792914952725e+14 6.6616687593127364e-06 -2.1871913405074430e+00 
1.9303337879039116e+14 7.5974911504284462e-06 -2.0067920771905996e+00 
1.9301883062446166e+14 8.3104070153781543e-06 -1.8200399788260919e+00 
1.9300428465124291e+14 8.7664366377834083e-06 -1.6261342724966825e+00 
1.9298974087023919e+14 8.9344208004879533e-06 -1.4237743325779193e+00 
1.9297519928095497e+14 8.7874565797767913e-06 -1.2110085397489996e+00 
